	Arab Company for Investment Projects Psc (APCT)	Mar 02, 2025	0.06		--	4.62%
Aldrees (4200)	Mar 02, 2025	1.5		Mar 13, 2025	1.04%
Gulf International (GISS)	Mar 02, 2025	0.17		--	5.15%
Sena Kalyan Insurance (SENA)	Mar 02, 2025	1.5		Apr 23, 2025	3.56%
Al Fakhera Men Tailoring (9618)	Mar 02, 2025	0.23		Mar 11, 2025	3.89%
City General Insurance (CITY)	Mar 02, 2025	1		Apr 23, 2025	2.67%
Monday, March 3, 2025
Kayne Anderson BDC (KBDC)	Mar 03, 2025	0.1		Mar 18, 2025	8.06%
Whitestone (WSR)	Mar 03, 2025	0.045		Mar 11, 2025	3.96%
EVN AG (EVNV)	Mar 03, 2025	0.9		Mar 06, 2025	3.85%
EVN AG (0EEI)	Mar 03, 2025	0.9		Mar 06, 2025	3.91%
Sonor Investments Prf (SNI_pa)	Mar 03, 2025	0.225		Mar 17, 2025	8.72%
E-L Financial Corp (ELFIF)	Mar 03, 2025	104.59155		Mar 14, 2025	39.33%
E-L Financial Corp (ELF)	Mar 03, 2025	150		Mar 14, 2025	38.27%
M T Bank Prf H (MTB_ph)	Mar 03, 2025	0.3515625		Mar 17, 2025	5.55%
KeyCorp ADR (KEY_pi)	Mar 03, 2025	0.382813		Mar 17, 2025	6.06%
Cactus (WHD)	Mar 03, 2025	0.13		Mar 20, 2025	0.99%
MidWestOne (MOFG)	Mar 03, 2025	0.2425		Mar 17, 2025	3.19%
Corteva (CTVA)	Mar 03, 2025	0.17		Mar 17, 2025	1.07%
Corteva (CTVA)	Mar 03, 2025	0.17		Mar 17, 2025	1.08%
NBT Bancorp (NBTB)	Mar 03, 2025	0.34		Mar 17, 2025	2.85%
Lockheed Martin (LMT)	Mar 03, 2025	3.3		Mar 28, 2025	2.93%
Associated Banc-Corp (ASB)	Mar 03, 2025	0.23		Mar 17, 2025	3.70%
Houlihan Lokey Inc (HLI)	Mar 03, 2025	0.57		Mar 15, 2025	1.32%
Stifel (SF)	Mar 03, 2025	0.46		Mar 17, 2025	1.73%
First Financial Bancorp (FFBC)	Mar 03, 2025	0.24		Mar 17, 2025	3.50%
McKesson (MCK)	Mar 03, 2025	0.71		Apr 01, 2025	0.48%
Eversource Energy (1ES)	Mar 03, 2025	0.7525		Mar 31, 2025	4.80%
Ball (BALL)	Mar 03, 2025	0.2		Mar 17, 2025	1.52%
Brookfield Property Partners LP (BPYPN)	Mar 03, 2025	0.359375		Mar 31, 2025	10.11%
Brookfield Property Preferred LP (BPYP_pa)	Mar 03, 2025	0.390625		Mar 31, 2025	-
Brookfield Property Preferred LP (BPYPM)	Mar 03, 2025	0.390625		Mar 31, 2025	-
Brookfield Property Partners LP (BPYPP)	Mar 03, 2025	0.40625		Mar 31, 2025	10.09%
Berry Global (BERY)	Mar 03, 2025	0.31		Mar 17, 2025	1.72%
Brookfield Property Partners LP (BPYPO)	Mar 03, 2025	0.3984375		Mar 31, 2025	10.37%
Polaris Industries (PII)	Mar 03, 2025	0.67		Mar 17, 2025	5.97%
McKesson (MCK)	Mar 03, 2025	0.71		Apr 01, 2025	0.44%
FNB (FNB)	Mar 03, 2025	0.12		Mar 15, 2025	3.23%
Lockheed Martin DRC (LMTm)	Mar 03, 2025	0.165		Mar 28, 2025	2.57%
Ball (BLL)	Mar 03, 2025	0.2		Mar 17, 2025	1.53%
Lockheed Martin (LMT)	Mar 03, 2025	3.3		Mar 28, 2025	2.97%
Lockheed Martin (LMT)	Mar 03, 2025	3.3		Mar 28, 2025	2.97%
Polaris Industries (PII)	Mar 03, 2025	0.67		Mar 17, 2025	5.50%
Juniper (JNPR)	Mar 03, 2025	0.22		Mar 24, 2025	2.43%
Golub (GBDC)	Mar 03, 2025	0.39		Mar 28, 2025	9.96%
Lifevantage (LFVN)	Mar 03, 2025	0.04		Mar 17, 2025	0.93%
BorgWarner (BWA)	Mar 03, 2025	0.11		Mar 17, 2025	1.48%
Great-West Lifeco (GWO)	Mar 03, 2025	0.61		Mar 31, 2025	4.54%
Tradeweb Markets (TW)	Mar 03, 2025	0.12		Mar 17, 2025	0.35%
Great 4.80% R Non Cum Frst Prf (GWO_pr)	Mar 03, 2025	0.3		Mar 31, 2025	-
Great West Lifeco Pref M (GWO_pm)	Mar 03, 2025	0.3625		Mar 31, 2025	-
Great Wst 5.65 Non Cum 1St L Prf (GWO_pl)	Mar 03, 2025	0.353125		Mar 31, 2025	-
Great Lifec 5.40 % P Non Cum Prf (GWO_pp)	Mar 03, 2025	0.3375		Mar 31, 2025	-
Great Wes 5.15 Q Non Cum Fst Prf (GWO_pq)	Mar 03, 2025	0.321875		Mar 31, 2025	5.73%
Great West Lifeco Pref S (GWO_ps)	Mar 03, 2025	0.328125		Mar 31, 2025	5.81%
Great West Lifeco 1St 4.8 H Prf (GWO_ph)	Mar 03, 2025	0.30313		Mar 31, 2025	-
Great West Lifeco Pref G (GWO_pg)	Mar 03, 2025	0.325		Mar 31, 2025	-
Universal Logistics (ULH)	Mar 03, 2025	0.105		Apr 01, 2025	1.54%
Great-West Lifeco (GWO_pt)	Mar 03, 2025	0.321875		Mar 31, 2025	5.72%
Great West 3.65% Non Cum N Prf (GWO_pn)	Mar 03, 2025	0.109313		Mar 31, 2025	2.65%
Great West Lifeco Prf Y (GWO_py)	Mar 03, 2025	0.28125		Mar 31, 2025	5.61%
Natural Grocers Vitamin (NGVC)	Mar 03, 2025	0.12		Mar 19, 2025	1.08%
Patterson-UTI Energy (PTEN)	Mar 03, 2025	0.08		Mar 17, 2025	3.85%
McDonald’s (MCD)	Mar 03, 2025	1.77		Mar 17, 2025	2.30%
McDonald’s (MCDL)	Mar 03, 2025	1.77		Mar 17, 2025	2.26%
McDonald’s (MCD)	Mar 03, 2025	1.77		Mar 17, 2025	2.28%
McDonald’s (MCD)	Mar 03, 2025	1.77		Mar 17, 2025	2.31%
McDonald’s (MCD)	Mar 03, 2025	1.77		Mar 17, 2025	2.32%
Golub (OGL)	Mar 03, 2025	0.39		Mar 28, 2025	9.89%
Cinema&Film Distribution (QCFD)	Mar 03, 2025	0.07		--	2.98%
GCM Grosvenor (GCMG)	Mar 03, 2025	0.11		Mar 17, 2025	3.12%
Crystal Insurance Company (CRYS)	Mar 03, 2025	1.2		Apr 22, 2025	2.47%
Premier Tech (PT)	Mar 03, 2025	0.7		May 14, 2025	9.46%
Dong Nai Water (DNW)	Mar 03, 2025	500		Mar 20, 2025	5.14%
Dong Nai Roofsheet (DCT)	Mar 03, 2025	500		Mar 20, 2025	5.14%
Chimera Investment (CIM_pd)	Mar 03, 2025	0.6231		Mar 31, 2025	9.94%
IPG (IPG)	Mar 03, 2025	0.33		Mar 17, 2025	4.82%
Chimera Investment (CIM_pc)	Mar 03, 2025	0.484375		Mar 31, 2025	8.21%
Chimera Investment Pref A (CIM_pa)	Mar 03, 2025	0.5		Mar 31, 2025	8.91%
Chimera Invest Pref B (CIM_pb)	Mar 03, 2025	0.6488		Mar 31, 2025	10.29%
Premier Marketing (PM)	Mar 03, 2025	0.53		May 14, 2025	10.16%
Annaly Capital Management Pref (NLY_pf)	Mar 03, 2025	0.598962		Mar 31, 2025	9.22%
Element Solutions (ESI)	Mar 03, 2025	0.08		Mar 17, 2025	1.23%
Universal Health Services (UHS)	Mar 03, 2025	0.2		Mar 17, 2025	0.46%
Annaly Capital Pref G (NLY_pg)	Mar 03, 2025	0.547649		Mar 31, 2025	8.56%
Westwood (WHG)	Mar 03, 2025	0.15		Apr 01, 2025	3.80%
Regions Financial (RF)	Mar 03, 2025	0.25		Apr 01, 2025	4.22%
Group 1 Automotive (GPI)	Mar 03, 2025	0.5		Mar 17, 2025	0.44%
The Wendy’s Co (WEN)	Mar 03, 2025	0.25		Mar 17, 2025	6.45%
Annaly (NLY_pi)	Mar 03, 2025	0.598712		Mar 31, 2025	9.29%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	1.81%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	1.98%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	2.00%
McDonald DRC (MCDm)	Mar 03, 2025	0.07375		Mar 17, 2025	2.02%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	2.03%
Nike (NIKE)	Mar 03, 2025	0.4		Apr 01, 2025	1.97%
Element Solutions (PLQ)	Mar 03, 2025	0.08		Mar 17, 2025	1.23%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	0.02%
Gecina (0OPE)	Mar 03, 2025	2.7		Mar 05, 2025	5.96%
Gecina (GFC)	Mar 03, 2025	2.7		Mar 05, 2025	5.95%
Gecina (GFCP)	Mar 03, 2025	2.7		Mar 05, 2025	5.91%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	2.02%
Gecina (GFCp)	Mar 03, 2025	2.7		Mar 05, 2025	5.63%
Tai Sin Electric Ltd (TAIS)	Mar 03, 2025	0.0075		Mar 12, 2025	5.73%
Gecina (GFCP)	Mar 03, 2025	2.7		Mar 05, 2025	5.94%
Nike (NKECL)	Mar 03, 2025	0.4		Apr 01, 2025	1.99%
Alight (ALIT)	Mar 03, 2025	0.04		Mar 17, 2025	2.34%
Nike (NKE)	Mar 03, 2025	0.4		Apr 01, 2025	2.01%
Millat Tractors (MILM)	Mar 03, 2025	45		Mar 26, 2025	6.64%
TIPCO Asphalt (TASCO)	Mar 03, 2025	0.9		May 06, 2025	5.42%
Far Eastern University (FEU)	Mar 03, 2025	16		Mar 18, 2025	4.00%
Youngor (600177)	Mar 03, 2025	0.1		Mar 03, 2025	9.71%
Hysan Development (0014)	Mar 03, 2025	0.81		Mar 19, 2025	8.07%
Diamond Building (DRT)	Mar 03, 2025	0.24		May 16, 2025	6.80%
Dynea Pakistan (DYNE)	Mar 03, 2025	5		Mar 26, 2025	6.63%
Pakistan National Shipping (PNSC)	Mar 03, 2025	10		Mar 26, 2025	9.38%
Descon Oxychem (DOL)	Mar 03, 2025	2		Mar 26, 2025	14.77%
Bell Financial Group (BFG)	Mar 03, 2025	0.04		Mar 19, 2025	5.93%
WHA Premium Growth (WHARTu)	Mar 03, 2025	0.0602		Mar 19, 2025	7.58%
WHA Premium Growth (WHARTu)	Mar 03, 2025	0.1358		Mar 19, 2025	7.58%
WHA Industrial Leasehold REIT Unt (WHAIRu)	Mar 03, 2025	0.0582		Mar 28, 2025	9.83%
Big River Industries (BRI)	Mar 03, 2025	0.02		Apr 02, 2025	3.17%
Redox (RDX)	Mar 03, 2025	0.06		Mar 25, 2025	3.93%
Newmont DRC (NEM)	Mar 03, 2025	0.25		Mar 27, 2025	-
BBGI PCL (BBGI)	Mar 03, 2025	0.1		Apr 30, 2025	2.48%
OB Holdings Bhd (OBHO)	Mar 03, 2025	0.0012		Mar 14, 2025	0.69%
Alcoa DRC (AAI)	Mar 03, 2025	0.1		Mar 20, 2025	-
FOX (FOX)	Mar 03, 2025	1083.5138		Mar 11, 2025	5.79%
Realty Income (O)	Mar 03, 2025	0.268		Mar 14, 2025	5.62%
Sherwin-Williams (SHW)	Mar 03, 2025	0.79		Mar 14, 2025	0.88%
Sherwin-Williams (SHW)	Mar 03, 2025	0.79		Mar 14, 2025	0.88%
Northrop Grumman (NOC)	Mar 03, 2025	2.06		Mar 19, 2025	1.78%
Nike DRC (NKEm)	Mar 03, 2025	0.03333		Apr 01, 2025	1.78%
Global Power Synergy (GPSC)	Mar 03, 2025	0.45		Apr 23, 2025	3.19%
